#   GLON      GLAT      VLSR     MLON      MLAT
  292.4016  -56.4914  177.57  -24.8620   -1.2989
  292.3865  -56.4426  177.34  -24.8128   -1.3041
  292.3715  -56.3939  177.11  -24.7636   -1.3093
  292.3566  -56.3451  176.88  -24.7144   -1.3145
  292.3416  -56.2964  176.65  -24.6652   -1.3196
  292.3267  -56.2476  176.42  -24.6161   -1.3248
  292.3119  -56.1989  176.19  -24.5669   -1.3300
  292.2971  -56.1502  175.96  -24.5177   -1.3352
  292.2823  -56.1014  175.97  -24.4685   -1.3404
  292.2676  -56.0526  176.02  -24.4193   -1.3456
  292.2529  -56.0039  176.07  -24.3701   -1.3508
  292.2382  -55.9551  176.12  -24.3210   -1.3559
  292.2236  -55.9064  176.18  -24.2718   -1.3611
  292.2081  -55.8578  176.23  -24.2226   -1.3658
  292.1847  -55.8104  176.28  -24.1734   -1.3658
  292.1613  -55.7630  176.33  -24.1242   -1.3658
  292.1380  -55.7156  176.38  -24.0751   -1.3658
  292.1147  -55.6682  176.43  -24.0259   -1.3658
  292.0915  -55.6208  176.48  -23.9767   -1.3658
  292.0684  -55.5735  176.53  -23.9275   -1.3658
  292.0453  -55.5260  176.58  -23.8783   -1.3658
  292.0223  -55.4786  176.64  -23.8291   -1.3658
  291.9993  -55.4312  176.69  -23.7800   -1.3658
  291.9764  -55.3838  176.74  -23.7308   -1.3658
  291.9536  -55.3364  176.79  -23.6816   -1.3658
  291.9308  -55.2890  176.84  -23.6324   -1.3658
  291.9080  -55.2415  176.89  -23.5832   -1.3658
  291.8853  -55.1941  176.95  -23.5341   -1.3658
  291.8627  -55.1467  177.03  -23.4849   -1.3658
  291.8401  -55.0992  177.10  -23.4357   -1.3658
  291.8176  -55.0518  177.18  -23.3865   -1.3658
  291.7952  -55.0043  177.26  -23.3373   -1.3658
  291.7727  -54.9569  177.33  -23.2881   -1.3658
  291.7504  -54.9094  177.41  -23.2390   -1.3658
  291.7281  -54.8619  177.49  -23.1898   -1.3658
  291.7058  -54.8145  177.56  -23.1406   -1.3658
  291.6836  -54.7670  177.64  -23.0914   -1.3658
  291.6615  -54.7195  177.72  -23.0422   -1.3658
  291.6394  -54.6720  177.79  -22.9931   -1.3658
  291.6174  -54.6245  177.87  -22.9439   -1.3658
  291.5954  -54.5771  177.95  -22.8947   -1.3658
  291.5735  -54.5296  178.02  -22.8455   -1.3658
  291.5516  -54.4821  178.10  -22.7963   -1.3658
  291.5304  -54.4345  178.18  -22.7471   -1.3661
  291.5418  -54.3818  178.25  -22.6980   -1.3861
  291.5532  -54.3291  178.33  -22.6488   -1.4061
  291.5646  -54.2765  178.41  -22.5996   -1.4261
  291.5759  -54.2238  178.48  -22.5504   -1.4461
  291.5872  -54.1711  178.56  -22.5012   -1.4661
  291.5985  -54.1185  178.64  -22.4521   -1.4861
  291.6098  -54.0658  178.71  -22.4029   -1.5061
  291.6210  -54.0131  178.79  -22.3537   -1.5262
  291.6322  -53.9605  178.87  -22.3045   -1.5462
  291.6434  -53.9078  178.96  -22.2553   -1.5662
  291.6545  -53.8551  179.09  -22.2061   -1.5862
  291.6657  -53.8025  179.22  -22.1570   -1.6062
  291.6768  -53.7498  179.35  -22.1078   -1.6262
